pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,rowupdate
11 Com b,11 Com,1,2,1,0,Radial Velocity,2007,Xinglong Station,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,94.8000,1.5000,-1.5000,0,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,2014-05-14
11 UMi b,11 UMi,1,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,2018-09-04
14 And b,14 And,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,0.0000,,,0,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,2014-05-14
14 Her b,14 Her,1,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,,,,,,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,2018-09-04
16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,,,,,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,2018-09-04
18 Del b,18 Del,1,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,166.1000,6.5000,-6.5000,0,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,2014-05-14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,Imaging,2008,Gemini Observatory,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,,,,,,,,,K7 V,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,2015-04-01
24 Boo b,24 Boo,1,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,210.0000,100.0000,-130.0000,0,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,2018-04-25
24 Sex b,24 Sex,1,1,2,0,Radial Velocity,2010,Lick Observatory,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,9.2000,277.9000,-165.4000,0,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,2014-05-14
24 Sex c,24 Sex,1,1,2,0,Radial Velocity,2010,Lick Observatory,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,,,,,0.290000,0.160000,-0.090000,0,,,,,,,,,220.5000,182.2000,-320.9000,0,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,2014-05-14
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,Imaging,2013,Paranal Observatory,,,,,84.000000,,,0,,,,,4131.79000,317.83000,-317.83000,0,,,,,,,,,,,,,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,2020-09-08
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,Imaging,2013,W. M. Keck Observatory,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,,,,,,,,,,,,,,,,,,,,,M3.5 V,3530.00,50.00,-50.00,0,,,,,0.40,0.05,-0.05,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,0.0864000,-0.0860000,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,,,,,,,,,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,2015-05-14
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,Imaging,2010,Hubble Space Telescope,,,,,15.000000,,,0,,,,,2383.60000,794.50000,-794.50000,0,,,,,,,,,,,,,,,,,,,,,M8.5,,,,,,,,,0.02,,,0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,2014-05-14
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,Imaging,2004,Paranal Observatory,,,,,55.000000,,,0,,,,,1589.15000,635.66000,-635.66000,0,,,,,,,,,1250,200,-200,0,,,,,,,,,M8,,,,,,,,,0.02,,,0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000,2016-02-24
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,1,0,Eclipse Timing Variations,2015,Kepler,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,603.87700,31.78300,-31.78300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.03,-0.03,0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,6.3885000,-6.3885000,2015-06-04
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,1,0,Imaging,2009,W. M. Keck Observatory,7336.50000000,1934.50000000,-584.00000000,0,,,,,10.310,4.370,-4.040,0,6657.48000,26629.91000,-6657.48000,0,,,,,0.260000,0.060000,-0.060000,0,2075,70,-70,0,46.200,2.500,-8.700,0,223.0000,10.0000,-47.0000,0,M8.5,2300.00,80.00,-80.00,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,2014-05-14
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,0,Imaging,2016,W. M. Keck Observatory,,,,,230.000000,20.000000,-20.000000,0,,,,,3972.87500,476.74500,-476.74500,0,,,,,,,,,,,,,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,,,,,0.60,0.05,-0.05,0,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,0.1592000,-0.1585000,2016-11-09
30 Ari B b,30 Ari B,1,4,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,,,,,,,,,,,,,0.290000,0.090000,-0.090000,0,,,,,,,,,,,,,,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,0.1039000,-0.1034000,2018-09-04
4 UMa b,4 UMa,1,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,,,,,,,,,,,,,0.432000,0.024000,-0.024000,0,,,,,,,,,23.8100,4.4200,-4.4200,0,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,1.1860500,-1.1860500,2014-05-14
42 Dra b,42 Dra,1,2,1,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,,,,,,,,,,,,,0.380000,0.060000,-0.060000,0,,,,,,,,,218.7000,10.6000,-10.6000,0,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,1.3227000,-1.3227000,2014-05-14
47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1996,Lick Observatory,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,,,,,,,,,0.032000,0.014000,-0.014000,0,,,,,,,,,334.0000,23.0000,-23.0000,0,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,2014-05-14
47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2001,Lick Observatory,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,,,,,,,,,0.098000,0.047000,-0.096000,0,,,,,,,,,295.0000,114.0000,-160.0000,0,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,2014-05-14
47 UMa d,47 UMa,1,1,3,0,Radial Velocity,2009,Lick Observatory,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,,,,,,,,,0.160000,0.090000,-0.160000,0,,,,,,,,,110.0000,132.0000,-160.0000,0,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,2014-05-14
51 Eri b,51 Eri,1,3,1,0,Imaging,2015,Gemini Observatory,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,,,,,,,,,,,,,0.450000,0.100000,-0.150000,0,,,,,133.000,14.000,-7.000,0,87.0000,34.0000,-30.0000,0,,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000,2019-07-09
51 Peg b,51 Peg,1,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,,,,,,,,,0.013000,0.012000,-0.012000,0,,,,,,,,,58.0000,,,0,,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,0.0297000,-0.0297000,2014-05-14
55 Cnc b,55 Cnc,1,2,5,0,Radial Velocity,1996,Lick Observatory,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,,,,,0.000000,0.010000,-0.010000,0,,,,,,,,,-21.5000,56.9000,-89.8000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,2021-02-05
55 Cnc c,55 Cnc,1,2,5,0,Radial Velocity,2004,McDonald Observatory,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,,,,,,,,,,,,,0.030000,0.020000,-0.020000,0,,,,,,,,,2.4000,43.1000,-49.2000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,2021-02-05
55 Cnc d,55 Cnc,1,2,5,0,Radial Velocity,2002,Lick Observatory,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,,,,,,,,,,,,,0.130000,0.020000,-0.020000,0,,,,,,,,,-69.1000,9.1000,-7.9000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,2021-02-05
55 Cnc e,55 Cnc,1,2,5,0,Radial Velocity,2004,McDonald Observatory,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,6.66000,0.43000,-0.40000,0,0.050000,0.030000,-0.030000,0,,,,,83.590,0.470,-0.440,0,86.0000,30.7000,-33.4000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,2021-02-05
55 Cnc f,55 Cnc,1,2,5,0,Radial Velocity,2007,Multiple Observatories,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,,,,,,,,,,,,,0.080000,0.050000,-0.040000,0,,,,,,,,,-97.6000,37.0000,-51.3000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,2021-02-05
6 Lyn b,6 Lyn,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,,,,,,,,,,,,,0.073000,0.036000,-0.036000,0,,,,,,,,,130.0000,38.0000,-38.0000,0,,4938.00,,,0,5.20,,,0,1.44,,,0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,0.2734000,-0.2734000,2018-12-03
61 Vir b,61 Vir,1,1,3,0,Radial Velocity,2009,Multiple Observatories,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,,,,,,,,,,,,,0.120000,0.110000,-0.110000,0,,,,,,,,,105.0000,54.0000,-54.0000,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,2014-05-14
61 Vir c,61 Vir,1,1,3,0,Radial Velocity,2009,Multiple Observatories,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,,,,,,,,,,,,,0.140000,0.060000,-0.060000,0,,,,,,,,,341.0000,38.0000,-38.0000,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,2014-05-14
61 Vir d,61 Vir,1,1,3,0,Radial Velocity,2009,Multiple Observatories,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,,,,,,,,,,,,,0.350000,0.090000,-0.090000,0,,,,,,,,,314.0000,20.0000,-20.0000,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,2014-05-14
7 CMa b,7 CMa,1,1,2,0,Radial Velocity,2011,Anglo-Australian Telescope,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,,,,,,,,,,,,,0.060000,0.030000,-0.030000,0,,,,,90.000,,,0,165.3000,5.1000,-70.8000,0,,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000,2019-10-18
7 CMa c,7 CMa,1,1,2,0,Radial Velocity,2019,Multiple Observatories,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,,,,,,,,,,,,,0.080000,0.050000,-0.040000,0,,,,,90.000,,,0,233.5000,7.7000,-40.2000,0,,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000,2019-10-18
70 Vir b,70 Vir,1,1,1,0,Radial Velocity,1996,Lick Observatory,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,,,,,,,,,,,,,0.398800,0.001900,-0.001900,0,,,,,,,,,359.8300,0.2900,-0.2900,0,,5495.00,,,0,1.89,,,0,1.09,,,0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,0.0560000,-0.0557000,2018-12-03
75 Cet b,75 Cet,1,2,1,0,Radial Velocity,2012,Okayama Astrophysical Observatory,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,,,,,,,,,,,,,0.117000,0.048000,-0.048000,0,,,,,,,,,165.0000,28.0000,-28.0000,0,G3 III,4846.00,18.00,-18.00,0,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500,2015-09-02
8 UMi b,8 UMi,1,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,,,,,,,,,,,,,0.060000,0.090000,-0.090000,0,,,,,,,,,,,,,,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,0.6510000,-0.6460000,2018-09-04
81 Cet b,81 Cet,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,,,,,,,,,,,,,0.206000,0.029000,-0.029000,0,,,,,,,,,175.0000,6.9000,-6.9000,0,G5 III,4785.00,25.00,-25.00,0,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,1.2220000,-1.2220000,2014-05-14
91 Aqr b,91 Aqr,1,3,1,0,Radial Velocity,2013,Lick Observatory,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,,,,,,,,,,,,,0.027000,0.026000,-0.026000,0,,,,,,,,,177.3000,0.8000,-0.8000,0,K0 III,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,0.5132500,-0.5132500,2014-05-14
AB Pic b,AB Pic,1,1,1,0,Imaging,2005,Paranal Observatory,,,,,260.000000,,,0,,,,,4290.50000,158.90000,-158.90000,0,,,,,,,,,,,,,,,,,,,,,K2 V,,,,,,,,,,,,,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,0.0735000,-0.0733000,2014-05-14
AU Mic b,AU Mic,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,,,,,4.40000,,,1,0.100000,0.170000,-0.090000,0,,,,,,,,,,,,,,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,2020-06-12
BD+03 2562 b,BD+03 2562,1,1,1,0,Radial Velocity,2017,Multiple Observatories,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,,,,,,,,,,,,,0.200000,0.120000,-0.080000,0,,,,,,,,,218.0000,32.0000,-26.0000,0,,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,63.8750000,-63.8750000,2017-06-13
BD+14 4559 b,BD+14 4559,1,1,1,0,Radial Velocity,2009,McDonald Observatory,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,,,,,,,,,,,,,0.290000,0.030000,-0.030000,0,,,,,,,,,,,,,,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,0.0846000,-0.0844000,2018-09-04
BD+15 2375 b,BD+15 2375,1,1,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,,,,,,,,,,,,,0.001000,0.250000,-0.001000,0,,,,,,,,,55.0000,240.0000,-17.0000,0,,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,45.0380000,-45.0380000,2016-02-03
BD+15 2940 b,BD+15 2940,1,1,1,0,Radial Velocity,2013,McDonald Observatory,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,,,,,,,,,,,,,0.260000,0.100000,-0.100000,0,,,,,,,,,302.0000,33.0000,-33.0000,0,K0,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,6.4400000,-6.4400000,2014-05-14
BD+20 2457 b,BD+20 2457,1,1,2,0,Radial Velocity,2009,McDonald Observatory,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,,,,,,,,,,,,,0.150000,0.030000,-0.030000,0,,,,,,,,,,,,,,4259.00,64.00,-64.00,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,2018-09-04
BD+20 2457 c,BD+20 2457,1,1,2,0,Radial Velocity,2009,McDonald Observatory,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,,,,,,,,,,,,,0.180000,0.060000,-0.060000,0,,,,,,,,,126.0200,16.5400,-16.5400,0,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,2014-05-14
BD+20 274 b,BD+20 274,1,1,1,0,Radial Velocity,2012,McDonald Observatory,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,,,,,,,,,,,,,0.210000,0.060000,-0.060000,0,,,,,,,,,108.5000,38.1000,-38.1000,0,K5 III,4296.00,10.00,-10.00,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,80.5350000,-80.5350000,2015-09-16
BD+20 594 b,BD+20 594,1,1,1,0,Transit,2016,K2,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,,,,,0.000000,,,0,,,,,89.550,0.160,-0.160,0,,,,,,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,1.2570000,-1.2400000,2018-04-25
BD+45 564 b,BD+45 564,1,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,,,,,,,,,,,,,0.120000,0.060000,-0.060000,0,,,,,2.579,,,-1,70.3100,51.8500,-51.8500,0,K1,5004.00,50.00,-50.00,0,,,,,0.81,0.07,-0.07,0,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,0.1919000,-0.1905000,2021-05-28
BD+48 738 b,BD+48 738,1,1,1,0,Radial Velocity,2011,McDonald Observatory,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,,,,,,,,,,,,,0.200000,0.100000,-0.100000,0,,,,,,,,,358.9000,31.1000,-31.1000,0,K0 III,4414.00,15.00,-15.00,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,43.8490000,-43.8490000,2015-08-12
BD+48 740 b,BD+48 740,1,1,1,0,Radial Velocity,2018,Multiple Observatories,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,,,,,,,,,,,,,0.760000,0.050000,-0.090000,0,,,,,,,,,100.0000,12.0000,-15.0000,0,,4534.00,8.00,-8.00,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,21.5335000,-21.5335000,2018-02-01
BD+49 828 b,BD+49 828,1,1,1,0,Radial Velocity,2015,McDonald Observatory,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,,,,,,,,,,,,,0.350000,0.240000,-0.100000,0,,,,,,,,,170.0000,32.0000,-30.0000,0,K0,4943.00,30.00,-30.00,0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,7.6540000,-7.6540000,2015-02-05
BD+55 362 b,BD+55 362,1,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,265.59000000,1.04000000,-1.04000000,0,0.780000,0.050000,-0.050000,0,,,,,,,,,,,,,0.270000,0.060000,-0.060000,0,,,,,0.601,,,-1,-134.4400,62.4300,-62.4300,0,K3,5012.00,78.00,-78.00,0,,,,,0.91,0.10,-0.10,0,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,0.0974000,-0.0971000,2021-05-28
