pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,rowupdate
ROXs 42 B b,ROXs 42 B,1,2,1,0,Imaging,2013,Multiple Observatories,,,,,157.000000,,,0,,,,,2860.00000,953.00000,-953.00000,0,,,,,,,,,1975,25,-25,0,,,,,,,,,,3433.00,123.00,-123.00,0,1.34,,,0,,,,,16h31m15.01s,247.8125493,-24d32m44.08s,-24.5455770,143.5900000,1.5420000,-1.5110000,2014-05-14
RR Cae b,RR Cae,1,2,1,0,Eclipse Timing Variations,2012,Leoncito Astronomical Complex,4343.50000000,36.50000000,-36.50000000,0,5.300000,0.600000,-0.600000,0,,,,,,,,,,,,,0.000000,,,0,,,,,17.600,,,-1,,,,,M,,,,,,,,,0.44,,,0,04h21m05.61s,65.2733756,-48d39m15.34s,-48.6542601,21.1916000,0.0110000,-0.0110000,2015-08-26
Ross 128 b,Ross 128,1,1,1,0,Radial Velocity,2017,La Silla Observatory,9.86580000,0.00700000,-0.00700000,0,0.049600,0.001700,-0.001700,0,,,,,,,,,,,,,0.116000,0.097000,-0.097000,0,301,,,0,,,,,,,,,M4,3192.00,60.00,-60.00,0,0.20,0.01,-0.01,0,0.17,0.02,-0.02,0,11h47m45.02s,176.9376036,+00d47m57.44s,0.7992898,3.3745400,0.0008050,-0.0008050,2017-11-16
Ross 458 c,Ross 458,1,2,1,0,Imaging,2010,Las Campanas Observatory,,,,,1100.000000,,,-1,14.011,,,0,1906.98000,,,0,,,,,,,,,,,,,,,,,,,,,,3646.00,157.00,-157.00,0,0.56,0.02,-0.02,0,0.56,0.02,-0.02,0,13h00m45.89s,195.1912147,+12d22m32.16s,12.3755996,11.5094000,0.0202500,-0.0202500,2020-09-18
SR 12 AB c,SR 12 AB,1,2,1,0,Imaging,2010,Infrared Survey Facility,,,,,,,,,,,,,4131.62000,2224.72000,-2224.72000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16h27m19.50s,246.8312363,-24d41m40.81s,-24.6946687,,,,2014-05-14
SWEEPS-11 b,SWEEPS-11,1,1,1,0,Transit,2006,Hubble Space Telescope,1.79600000,,,0,0.030000,,,0,12.666,2.354,-2.354,0,3082.82000,1779.77000,-1430.17000,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,0,1.10,,,0,17h59m02.00s,269.7583333,-29d11m53.5s,-29.1981944,,,,2014-05-14
SWEEPS-4 b,SWEEPS-4,1,1,1,0,Transit,2006,Hubble Space Telescope,4.20000000,,,0,0.055000,,,0,9.079,1.121,-1.121,0,1207.70000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,0,1.24,,,0,17h58m53.92s,269.7246667,-29d11m20.6s,-29.1890556,,,,2014-05-14
TAP 26 b,TAP 26,1,1,1,0,Radial Velocity,2017,Multiple Facilities,10.79000000,0.14000000,-0.14000000,0,0.096800,0.003200,-0.003200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620.00,50.00,-50.00,0,1.17,0.17,-0.17,0,1.04,0.10,-0.10,0,04h18m51.71s,64.7154450,+17d23m16.38s,17.3878826,121.4020000,0.5690000,-0.5630000,2017-01-31
TCP J05074264+2447555 b,TCP J05074264+2447555,1,1,1,0,Microlensing,2018,Multiple Observatories,,,,,0.500000,,,0,,,,,9.20000,6.60000,-6.60000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.18,-0.18,0,05h07m42.64s,76.9276657,+24d47m55.5s,24.7987499,380.0000000,,,2019-12-05
TIC 237913194 b,TIC 237913194,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),15.16886500,0.00001800,-0.00001800,0,0.120700,0.003700,-0.003700,0,12.520,0.605,-0.527,0,617.22586,29.24036,-28.92253,0,1.84700,0.28000,-0.26000,0,0.575000,0.011000,-0.011000,0,974,,,0,87.000,1.500,-1.700,0,24.1000,2.4000,-2.4000,0,G3,5788.00,80.00,-80.00,0,1.09,0.01,-0.01,0,1.03,0.06,-0.06,0,01h29m46.99s,22.4458116,-60d44m23.67s,-60.7399096,306.0630000,2.0510000,-2.0250000,2020-12-10
